Tm,total_points_per_game,total_assists_per_game,total_rebounds_per_game,steals_blocks_per_game,fouls_per_game,3P%,FG%,defensive_rebounds_per_game,offensive_rebounds_per_game,FT%,Rank
SAC,120.68414634146342,27.29512195121951,42.41707317073171,0.16829268292682928,0.33902439024390246,0.28969999999999996,0.45824999999999994,0.49390243902439024,0.17073170731707318,0.60815,7
GSW,118.85365853658537,29.815853658536586,44.543902439024386,0.2097560975609756,0.3939024390243902,0.35605555555555557,0.4872222222222222,0.6073170731707317,0.19878048780487806,0.7546111111111111,11
ATL,118.42804878048781,25.091463414634145,44.38780487804878,0.20365853658536584,0.33780487804878045,0.26044999999999996,0.47009999999999996,0.6024390243902439,0.19999999999999998,0.7095,17
BOS,117.91219512195121,26.73414634146341,45.48780487804878,0.21097560975609758,0.3353658536585366,0.3010555555555555,0.44861111111111107,0.6268292682926829,0.20609756097560974,0.7127222222222223,2
OKC,117.4829268292683,24.546341463414635,43.56951219512195,0.24268292682926831,0.4109756097560976,0.34957894736842104,0.4594736842105263,0.6146341463414634,0.22560975609756098,0.6948947368421052,20
LAL,117.15853658536585,25.208536585365852,45.665853658536584,0.25853658536585367,0.4329268292682927,0.3172916666666667,0.45145833333333335,0.8365853658536585,0.23658536585365852,0.6656666666666667,14
UTA,117.03902439024391,25.897560975609753,45.925609756097565,0.24146341463414636,0.4634146341463415,0.3217826086956522,0.4680434782608696,0.7573170731707316,0.24146341463414636,0.655608695652174,22
MEM,116.95853658536586,26.120731707317074,46.56585365853659,0.28170731707317076,0.42195121951219516,0.29857894736842105,0.4568947368421053,0.6731707317073171,0.22926829268292684,0.6498947368421053,6
MIL,116.90243902439025,25.897560975609753,48.68658536585366,0.2073170731707317,0.37317073170731707,0.34171428571428575,0.441952380952381,0.725609756097561,0.22195121951219512,0.7987619047619048,1
IND,116.3280487804878,26.913414634146342,41.671951219512195,0.275609756097561,0.4292682926829269,0.3016,0.46349999999999997,0.6060975609756097,0.20243902439024392,0.7479,23
NYK,116.02317073170731,22.873170731707315,46.58902439024391,0.1902439024390244,0.3426829268292683,0.3117058823529412,0.4583529411764706,0.5707317073170732,0.20487804878048782,0.6687647058823529,8
MIN,115.77073170731708,26.034146341463416,41.81219512195122,0.2426829268292683,0.4268292682926829,0.31275,0.5035499999999999,0.6097560975609756,0.17317073170731706,0.7556499999999999,15
DEN,115.71585365853659,28.845121951219515,43.04512195121951,0.20853658536585368,0.33902439024390246,0.38861111111111113,0.4865,0.5780487804878048,0.17804878048780487,0.7184444444444444,4
PHI,115.35000000000001,25.342682926829266,40.97073170731707,0.23414634146341462,0.42073170731707316,0.30909523809523815,0.45952380952380956,0.6000000000000001,0.19146341463414634,0.6103809523809524,3
NOP,114.32560975609756,25.89512195121951,43.77073170731707,0.22682926829268293,0.3670731707317073,0.3231764705882353,0.47182352941176475,0.5792682926829268,0.18414634146341463,0.7298823529411764,16
DAL,114.30853658536584,22.973170731707317,38.646341463414636,0.21707317073170732,0.4695121951219512,0.32965217391304347,0.4937391304347826,0.6268292682926829,0.15487804878048783,0.6201304347826087,21
PHO,113.71585365853659,27.26341463414634,44.329268292682926,0.2646341463414634,0.43536585365853664,0.34695,0.45555,0.698780487804878,0.22560975609756098,0.7454,10
LAC,113.62560975609755,23.930487804878048,43.23658536585366,0.24512195121951222,0.42195121951219516,0.32166666666666666,0.4754285714285714,0.7085365853658536,0.20853658536585368,0.6891428571428572,12
POR,113.44634146341464,24.221951219512196,40.66219512195122,0.3451219512195122,0.5487804878048781,0.33008333333333334,0.45987500000000003,0.7853658536585366,0.2573170731707317,0.6623333333333333,26
BRK,113.33658536585367,25.57073170731707,40.53536585365854,0.3341463414634146,0.5817073170731708,0.28424,0.41512,0.8317073170731708,0.23048780487804876,0.7169599999999999,9
WAS,113.22926829268292,25.53170731707317,43.66341463414634,0.2548780487804878,0.4195121951219512,0.2872173913043478,0.43269565217391304,0.6841463414634147,0.20365853658536584,0.6813478260869565,24
CHI,113.17073170731707,24.4390243902439,42.453658536585365,0.20487804878048782,0.3170731707317073,0.37905555555555553,0.4936111111111111,0.5341463414634146,0.1451219512195122,0.670611111111111,19
SAS,113.16219512195121,27.225609756097562,43.66951219512195,0.26097560975609757,0.4878048780487805,0.2911739130434783,0.4589565217391305,0.7853658536585366,0.2890243902439024,0.7201304347826086,29
TOR,112.72439024390243,23.921951219512195,42.953658536585365,0.2792682926829268,0.3804878048780488,0.2771,0.4849,0.576829268292683,0.24146341463414636,0.69845,18
CLE,112.36707317073171,24.85487804878049,41.17317073170732,0.21585365853658536,0.34146341463414637,0.3466111111111111,0.4863888888888889,0.5536585365853658,0.1597560975609756,0.7801666666666667,5
ORL,111.5670731707317,23.192682926829267,43.16097560975609,0.2658536585365854,0.424390243902439,0.369,0.47115,0.6865853658536585,0.224390243902439,0.7525000000000001,25
CHO,110.99756097560974,25.150000000000002,44.547560975609755,0.2646341463414634,0.4365853658536585,0.31589473684210523,0.4515789473684211,0.6975609756097562,0.22560975609756098,0.7642631578947369,27
HOU,110.8890243902439,22.43170731707317,46.137804878048776,0.19756097560975608,0.3439024390243902,0.2717222222222222,0.4398888888888889,0.5390243902439025,0.2121951219512195,0.7759444444444444,28
DET,110.24146341463414,23.03048780487805,42.584146341463416,0.2634146341463415,0.5036585365853659,0.2821818181818182,0.44540909090909087,0.7304878048780488,0.2524390243902439,0.8032727272727272,30
MIA,109.4219512195122,23.819512195121952,40.59146341463415,0.24634146341463414,0.44999999999999996,0.28475,0.458,0.6682926829268293,0.2207317073170732,0.7476,13
