Tm,total_points_per_game,total_assists_per_game,total_rebounds_per_game,steals_blocks_per_game,fouls_per_game,3P%,FG%,defensive_rebounds_per_game,offensive_rebounds_per_game,FT%
DEN,27.695121951219512,6.31219512195122,10.97439024390244,0.15000000000000002,0.25121951219512195,0.2766,0.43213333333333337,0.4560975609756097,0.12682926829268293,0.4553333333333333
BOS,27.370731707317074,5.9487804878048784,10.543902439024391,0.1597560975609756,0.2524390243902439,0.34664285714285714,0.46364285714285713,0.44268292682926824,0.1402439024390244,0.7060714285714286
LAL,21.931707317073172,4.8585365853658535,8.692682926829269,0.17317073170731706,0.22804878048780486,0.29633333333333334,0.42153333333333337,0.4695121951219512,0.12560975609756098,0.6198
GSW,17.92560975609756,4.459756097560976,7.490243902439025,0.15121951219512195,0.30000000000000004,0.2836923076923077,0.4310769230769231,0.44999999999999996,0.15853658536585366,0.5581538461538462
PHO,15.314634146341463,3.2865853658536586,5.370731707317073,0.17926829268292682,0.32682926829268294,0.24264285714285716,0.4427857142857143,0.4475609756097561,0.1329268292682927,0.5845
PHI,13.765853658536585,2.5560975609756103,5.780487804878049,0.17073170731707318,0.25853658536585367,0.19706666666666667,0.40246666666666664,0.45365853658536587,0.12682926829268293,0.631
NYK,13.441463414634146,2.496341463414634,6.092682926829268,0.14634146341463414,0.2597560975609756,0.19541666666666668,0.34775,0.41341463414634144,0.16097560975609757,0.5531666666666667
SAC,9.696341463414633,1.8658536585365855,4.073170731707317,0.14756097560975612,0.2902439024390244,0.24084615384615388,0.3889230769230769,0.424390243902439,0.175609756097561,0.6389230769230768
ATL,8.470731707317073,1.795121951219512,3.204878048780488,0.15609756097560976,0.20121951219512196,0.36310000000000003,0.4295,0.3975609756097561,0.1524390243902439,0.7263
MEM,7.663414634146341,1.7195121951219512,3.3975609756097565,0.13170731707317074,0.26097560975609757,0.27208333333333334,0.37966666666666665,0.4304878048780487,0.1695121951219512,0.6701666666666667
MIL,7.247560975609756,1.6378048780487806,2.707317073170732,0.14634146341463414,0.2658536585365854,0.3038,0.37193333333333334,0.4865853658536585,0.1451219512195122,0.45913333333333334
LAC,7.050000000000001,1.3170731707317074,2.4390243902439024,0.15609756097560976,0.31585365853658537,0.21085714285714285,0.3545,0.40609756097560973,0.15609756097560976,0.5367857142857143
MIN,6.426829268292683,1.380487804878049,2.392682926829268,0.17560975609756097,0.2902439024390244,0.218,0.3322307692307692,0.3939024390243902,0.10975609756097561,0.4676923076923077
CLE,5.746341463414634,1.3439024390243903,2.270731707317073,0.1353658536585366,0.2768292682926829,0.2226923076923077,0.37746153846153846,0.37317073170731707,0.12073170731707318,0.6514615384615384
BRK,4.515853658536585,1.0902439024390245,1.7195121951219512,0.11829268292682928,0.22804878048780486,0.19485714285714287,0.3807142857142857,0.38658536585365855,0.07804878048780488,0.4706428571428572
